iter	Passed	Remaining
525	38108	34341
526	38160	34250
527	38234	34179
528	38303	34103
529	38359	34016
530	38420	33934
531	38472	33844
532	38531	33760
533	38586	33673
534	38652	33595
535	38709	33509
536	38770	33428
537	38826	33341
538	38885	33258
539	38950	33180
540	39011	33098
541	39081	33024
542	39137	32938
543	39200	32858
544	39263	32779
545	39328	32701
546	39397	32626
547	39460	32547
548	39518	32464
549	39580	32384
550	39641	32303
551	39698	32219
552	39760	32139
553	39814	32053
554	39869	31967
555	39941	31895
556	39993	31808
557	40050	31724
558	40115	31647
559	40163	31556
560	40226	31478
561	40292	31402
562	40353	31322
563	40410	31239
564	40465	31155
565	40526	31075
566	40588	30996
567	40647	30914
568	40711	30837
569	40779	30763
570	40839	30683
571	40909	30610
572	40974	30533
573	41035	30455
574	41091	30371
575	41153	30293
576	41211	30211
577	41272	30133
578	41326	30048
579	41385	29968
580	41436	29882
581	41483	29793
582	41535	29708
583	41581	29619
584	41634	29535
585	41690	29453
586	41752	29376
587	41809	29295
588	41871	29217
589	41935	29141
590	41994	29062
591	42053	28982
592	42109	28901
593	42166	28820
594	42217	28736
595	42271	28653
596	42327	28573
597	42379	28489
598	42431	28406
599	42492	28328
600	42584	28271
601	42697	28228
602	42771	28159
603	42835	28084
604	42898	28007
605	42950	27924
606	43003	27842
607	43057	27760
608	43109	27677
609	43162	27595
610	43228	27521
611	43286	27443
612	43346	27365
613	43404	27286
614	43460	27207
615	43513	27125
616	43563	27041
617	43620	26962
618	43674	26882
619	43753	26816
620	43827	26748
621	43912	26686
622	43994	26622
623	44077	26559
624	44165	26499
625	44241	26431
626	44310	26360
627	44381	26289
628	44457	26222
629	44523	26148
630	44605	26084
631	44693	26024
632	44771	25957
633	44839	25885
634	44907	25812
635	44990	25749
636	45058	25677
637	45115	25598
638	45170	25519
639	45224	25438
640	45282	25361
641	45339	25283
642	45405	25209
643	45469	25135
644	45532	25060
645	45601	24989
646	45691	24928
647	45794	24876
648	45901	24824
649	45982	24759
650	46058	24692
651	46116	24614
652	46176	24538
653	46238	24462
654	46307	24391
655	46372	24317
656	46427	24238
657	46480	24158
658	46541	24083
659	46593	24002
660	46644	23922
661	46694	23840
662	46747	23761
663	46804	23684
664	46860	23606
665	46910	23525
666	46973	23451
667	47044	23381
668	47110	23308
669	47176	23236
670	47236	23160
671	47297	23085
672	47358	23010
673	47415	22933
674	47476	22859
675	47524	22778
676	47577	22699
677	47633	22622
678	47688	22544
679	47742	22467
680	47805	22393
681	47860	22316
682	47922	22242
683	47969	22161
684	48033	22088
685	48091	22012
686	48145	21935
687	48205	21860
688	48268	21787
689	48331	21714
690	48388	21638
691	48453	21565
692	48520	21494
693	48579	21419
694	48640	21345
695	48703	21272
696	48777	21204
697	48843	21132
698	48920	21066
699	49016	21007
700	49102	20943
701	49189	20880
702	49263	20812
703	49337	20744
704	49397	20669
705	49466	20599
706	49545	20532
707	49636	20471
708	49709	20402
709	49785	20334
710	49849	20262
711	49912	20189
712	49967	20113
713	50025	20038
714	50080	19962
715	50143	19889
716	50195	19812
717	50256	19738
718	50310	19662
719	50366	19586
720	50423	19511
721	50477	19436
722	50528	19358
723	50587	19284
724	50641	19208
725	50699	19134
726	50764	19062
727	50823	18988
728	50952	18941
729	51043	18878
730	51137	18817
731	51210	18749
732	51275	18677
733	51344	18607
734	51409	18535
735	51494	18470
736	51579	18406
737	51660	18340
738	51739	18273
739	51822	18207
740	51922	18148
741	52048	18097
742	52148	18037
743	52219	17967
744	52308	17904
745	52382	17835
746	52452	17765
747	52515	17692
748	52580	17620
749	52634	17544
750	52691	17470
751	52768	17402
752	52852	17336
753	52933	17270
754	53002	17199
755	53078	17131
756	53150	17061
757	53215	16989
758	53282	16918
759	53349	16847
760	53410	16773
761	53480	16703
762	53546	16632
763	53624	16564
764	53693	16494
765	53759	16422
766	53809	16346
767	53860	16270
768	53912	16194
769	53977	16123
770	54043	16051
771	54106	15979
772	54164	15905
773	54222	15832
774	54278	15758
775	54330	15683
776	54385	15608
777	54437	15533
778	54491	15459
779	54552	15386
780	54603	15311
781	54653	15235
782	54705	15161
783	54753	15085
784	54802	15009
785	54851	14934
786	54903	14859
787	54952	14784
788	55002	14709
789	55051	14633
790	55117	14563
791	55166	14488
792	55215	14413
793	55263	14337
794	55315	14263
795	55364	14188
796	55412	14113
797	55462	14039
798	55510	13964
799	55563	13890
800	55619	13818
801	55673	13744
802	55740	13674
803	55797	13602
804	55866	13532
805	55922	13460
806	55979	13387
807	56032	13314
808	56097	13244
809	56148	13170
810	56207	13098
811	56279	13030
